,Book Title,Book Link,Book Author,Book Review,Book Type
0,A Guide to the Birds of East Africa,https://www.amazon.co.uk/dp/0241955289?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Nicholas Drayson,"Mr Malik has a secret.  In fact, he has several that the narrator reveals only when we need to know them.  Generating compassion and even concern for him, each new revelation tells us more about this unassuming, gentle man.  Our appreciation of his worth grows through the pages of an entertaining and endearing story.  There must be a happy ending - but who for?",Very Happy
1,The No.1 Ladies' Detective Agency,https://www.amazon.co.uk/dp/034911675X?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Alexander McCall Smith,"This was funny and touching and beautiful.  I wanted to meet these wonderful people with whom I felt I had experienced life in Botswana; I wanted to drink some redbush tea on the verandah, and to drive out into the wonderful empty expanses of Africa.  The crimes are minor and Precious Ramotswe is no cerebral detective but she knows how to enjoy life - a really enchanting book.
",Very Happy
2,Playing James,https://www.amazon.co.uk/dp/B007A1DTY6?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Sarah Mason,"Holly is a reporter on the local paper.  James is a detective.  Holly's big break comes with an opportunity to shadow James.  It is dislike at first, second and third sight.  This is a funny, witty, light-hearted read.  Guess what happens?
",Very Happy
3,Connect,https://www.amazon.co.uk/dp/0671023403?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Nan McCarthy,"Although it's an amusing read, this book may be rather too short for some readers.  But if you like short stories or reading other people's emails, I recommend you read Connect in conjunction with the other two titles (one and three) in this cyberspace romantic trilogy.



",Very Happy
4,The C Words,https://www.amazon.co.uk/dp/0751537055?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Mark Mason,"Bridget Jones for men. Chap lit rather than chick lit.  Light, stylish and very funny, this is a fine romantic comedy.  Told from a male point of view, it follows two increasingly stressed-out guys trying to get into bed with the right girl. It seems its a whole lot harder than I'd ever appreciated.<br />
  <br />
<br />
<br />
",Very Happy
5,Dreaming of Strangers,https://www.amazon.co.uk/dp/0297646575?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Matt Thorne,A thoroughly engaging bitter-sweet comedy of manners. If you're into film and pop culture you'll relate to this warm and funny novel.  ,Very Happy
6,Riding Electric Horses into the Voids of Time,https://www.amazon.co.uk/dp/1899235280?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Alex Laishley,"Written in a non-too-demanding style, but with references to computers, computergaming and an upmarket lifestyle.  Likely to appeal to anyone with these interests.


",Very Happy
7,Fish Change Direction in Cold Weather,https://www.amazon.co.uk/dp/085786162X?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Pierre Szalowski,"It’s an ill wind, as they say, that blows no good, but this time an ice storm does even more: mending a broken marriage, healing neighbourly rifts and generally acting as a ploy by Cupid  – even for fish!  This whimsical tale is a cheerful tonic for those cold wintry days, when Spring still seems a long way off.<br /><br />",Very Happy
8,Various Pets Alive and Dead,https://www.amazon.co.uk/dp/0141044942?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Marina Lewycka,"This is a very funny book about family and ethics.  Amid the global financial crisis, Doro sets out to tell her grown up children some good news.  But each is preoccupied with a crisis of their own: Serge, putting their commune childhood behind him, is making good money in banking but can't face telling Doro.  Oolie-Anna wants to leave home.  And Clara, teaching in a difficult school, has to confront past demons in the form of a class hamster.",Very Happy
9,Liminal,https://www.amazon.co.uk/dp/095552721X?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Chris Keil,"Cross the thresholds of time, space and perception with this magical mystery tour de force, combining elements of Celtic and Greek mythology. The journey of discovery becomes a quest for purpose and self-realisation, as well as a detective story for a missing person. You may find yourself experiencing a sudden yearning for a holiday in Greece!",Very Happy
10,This is Life,https://www.amazon.co.uk/dp/0857862456?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Dan Rhodes,"Based in Paris, love at first sight is the norm in this scatty, madcap comic novel. Full of irony and dark humour, the author pokes fun at performance art and the French political scene, leaving you none the wiser about whether life imitates art or the other way round. You find yourself willingly suspending disbelief in this skillfully wrought, furiously paced farce.",Very Happy
11,Fair Game,https://www.amazon.co.uk/dp/0099415070?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Elizabeth Young,"This read is the perfect antidote to a rainy day: it's warm and funny and has a sunny outlook on life. 

",Very Happy
12,Number Ten,https://www.amazon.co.uk/dp/0241958385?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Sue Townsend,"Hilarious skit on today's Labour government.
The Prime Minister, Edward Clare, needs to get to know the electorate better and sets off on a national tour of the low spots of Britain.  His companion is Jack Spratt, the policeman who stands at the door of Number 10, and his disguise includes high heels and a blonde wig.


",Very Happy
13,The Marriage Bureau for Rich People,https://www.amazon.co.uk/dp/0349121370?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Farahad Zama,"What a delightful, funny, touching book.  I loved Mr and Mrs Ali - their bickering, their wisdom, their compassion.  This was a magical depiction of that classic battleground - family, property, class - and marriage.",Very Happy
14,The Happy Numbers of Julius Miles,https://www.amazon.co.uk/dp/B01K0S3G1G?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Jim Keeble,"A vivid portrayal of East End London with an unlikely combination of parenthood, gangsters and a matchmaking guardian angel. You are guaranteed an inventive and highly absorbing read in this darkly comic tale of human relationships. Julius, a slightly cowardly, gentle-giant statistician who prefers to hide behind numbers to avoid getting to grips with our tumultuous world will certainly make you smile.",Very Happy
15,Park and Ride,https://www.amazon.co.uk/dp/034911319X?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Miranda Sawyer,"Gently amusing this is any easy read for those times when you want a book but can't make the effort to think.  May strike a chord with those of you who grew up in the suburbs, in the 1980s, with a passion for while stilettos.
",Very Happy
16,The Dirty Girls Social Club,https://www.amazon.co.uk/dp/0312313810?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Alisa Valdes-Rodriguez,"A great relaxing book to read - lots of fun but also some disturbing insights into what women will suffer to be loved and wanted.  These six different girls, all Latinas, have been close friends for ten years but still have more to find out about each other.  Keep your Spanish dictionary by your side!",Very Happy
